DATE,SP500
2019-06-11,2885.72
2019-06-12,2879.84
2019-06-13,2891.64
2019-06-14,2886.98
2019-06-17,2889.67
2019-06-18,2917.75
2019-06-19,2926.46
2019-06-20,2954.18
2019-06-21,2950.46
2019-06-24,2945.35
2019-06-25,2917.38
2019-06-26,2913.78
2019-06-27,2924.92
2019-06-28,2941.76
2019-07-01,2964.33
2019-07-02,2973.01
2019-07-03,2995.82
2019-07-04,
2019-07-05,2990.41
2019-07-08,2975.95
2019-07-09,2979.63
2019-07-10,2993.07
2019-07-11,2999.91
2019-07-12,3013.77
2019-07-15,3014.3
2019-07-16,3004.04
2019-07-17,2984.42
2019-07-18,2995.11
2019-07-19,2976.61
2019-07-22,2985.03
2019-07-23,3005.47
2019-07-24,3019.56
2019-07-25,3003.67
2019-07-26,3025.86
2019-07-29,3020.97
2019-07-30,3013.18
2019-07-31,2980.38
2019-08-01,2953.56
2019-08-02,2932.05
2019-08-05,2844.74
2019-08-06,2881.77
2019-08-07,2883.98
2019-08-08,2938.09
2019-08-09,2918.65
2019-08-12,2883.75
2019-08-13,2926.32
2019-08-14,2840.6
2019-08-15,2847.6
2019-08-16,2888.68
2019-08-19,2923.65
2019-08-20,2900.51
2019-08-21,2924.43
2019-08-22,2922.95
2019-08-23,2847.11
2019-08-26,2878.38
2019-08-27,2869.16
2019-08-28,2887.94
2019-08-29,2924.58
2019-08-30,2926.46
2019-09-02,
2019-09-03,2906.27
2019-09-04,2937.78
2019-09-05,2976.0
2019-09-06,2978.71
2019-09-09,2978.43
2019-09-10,2979.39
2019-09-11,3000.93
2019-09-12,3009.57
2019-09-13,3007.39
2019-09-16,2997.96
2019-09-17,3005.7
2019-09-18,3006.73
2019-09-19,3006.79
2019-09-20,2992.07
2019-09-23,2991.78
2019-09-24,2966.6
2019-09-25,2984.87
2019-09-26,2977.62
2019-09-27,2961.79
2019-09-30,2976.74
2019-10-01,2940.25
2019-10-02,2887.61
2019-10-03,2910.63
2019-10-04,2952.01
2019-10-07,2938.79
2019-10-08,2893.06
2019-10-09,2919.4
2019-10-10,2938.13
2019-10-11,2970.27
2019-10-14,2966.15
2019-10-15,2995.68
2019-10-16,2989.69
2019-10-17,2997.95
2019-10-18,2986.2
2019-10-21,3006.72
2019-10-22,2995.99
2019-10-23,3004.52
2019-10-24,3010.29
2019-10-25,3022.55
2019-10-28,3039.42
2019-10-29,3036.89
2019-10-30,3046.77
2019-10-31,3037.56
2019-11-01,3066.91
2019-11-04,3078.27
2019-11-05,3074.62
2019-11-06,3076.78
2019-11-07,3085.18
2019-11-08,3093.08
2019-11-11,3087.01
2019-11-12,3091.84
2019-11-13,3094.04
2019-11-14,3096.63
2019-11-15,3120.46
2019-11-18,3122.03
2019-11-19,3120.18
2019-11-20,3108.46
2019-11-21,3103.54
2019-11-22,3110.29
2019-11-25,3133.64
2019-11-26,3140.52
2019-11-27,3153.63
2019-11-28,
2019-11-29,3140.98
2019-12-02,3113.87
2019-12-03,3093.2
2019-12-04,3112.76
2019-12-05,3117.43
2019-12-06,3145.91
2019-12-09,3135.96
2019-12-10,3132.52
2019-12-11,3141.63
2019-12-12,3168.57
2019-12-13,3168.8
2019-12-16,3191.45
2019-12-17,3192.52
2019-12-18,3191.14
2019-12-19,3205.37
2019-12-20,3221.22
2019-12-23,3224.01
2019-12-24,3223.38
2019-12-25,
2019-12-26,3239.91
2019-12-27,3240.02
2019-12-30,3221.29
2019-12-31,3230.78
2020-01-01,
2020-01-02,3257.85
2020-01-03,3234.85
2020-01-06,3246.28
2020-01-07,3237.18
2020-01-08,3253.05
2020-01-09,3274.7
2020-01-10,3265.35
2020-01-13,3288.13
2020-01-14,3283.15
2020-01-15,3289.29
2020-01-16,3316.81
2020-01-17,3329.62
2020-01-20,
2020-01-21,3320.79
2020-01-22,3321.75
2020-01-23,3325.54
2020-01-24,3295.47
2020-01-27,3243.63
2020-01-28,3276.24
2020-01-29,3273.4
2020-01-30,3283.66
2020-01-31,3225.52
2020-02-03,3248.92
2020-02-04,3297.59
2020-02-05,3334.69
2020-02-06,3345.78
2020-02-07,3327.71
2020-02-10,3352.09
2020-02-11,3357.75
2020-02-12,3379.45
2020-02-13,3373.94
2020-02-14,3380.16
2020-02-17,
2020-02-18,3370.29
2020-02-19,3386.15
2020-02-20,3373.23
2020-02-21,3337.75
2020-02-24,3225.89
2020-02-25,3128.21
2020-02-26,3116.39
2020-02-27,2978.76
2020-02-28,2954.22
2020-03-02,3090.23
2020-03-03,3003.37
2020-03-04,3130.12
2020-03-05,3023.94
2020-03-06,2972.37
2020-03-09,2746.56
2020-03-10,2882.23
2020-03-11,2741.38
2020-03-12,2480.64
2020-03-13,2711.02
2020-03-16,2386.13
2020-03-17,2529.19
2020-03-18,2398.1
2020-03-19,2409.39
2020-03-20,2304.92
2020-03-23,2237.4
2020-03-24,2447.33
2020-03-25,2475.56
2020-03-26,2630.07
2020-03-27,2541.47
2020-03-30,2626.65
2020-03-31,2584.59
2020-04-01,2470.5
2020-04-02,2526.9
2020-04-03,2488.65
2020-04-06,2663.68
2020-04-07,2659.41
2020-04-08,2749.98
2020-04-09,2789.82
2020-04-10,
2020-04-13,2761.63
2020-04-14,2846.06
2020-04-15,2783.36
2020-04-16,2799.55
2020-04-17,2874.56
2020-04-20,2823.16
2020-04-21,2736.56
2020-04-22,2799.31
2020-04-23,2797.8
2020-04-24,2836.74
2020-04-27,2878.48
2020-04-28,2863.39
2020-04-29,2939.51
2020-04-30,2912.43
2020-05-01,2830.71
2020-05-04,2842.74
2020-05-05,2868.44
2020-05-06,2848.42
2020-05-07,2881.19
2020-05-08,2929.8
2020-05-11,2930.32
2020-05-12,2870.12
2020-05-13,2820.0
2020-05-14,2852.5
2020-05-15,2863.7
2020-05-18,2953.91
2020-05-19,2922.94
2020-05-20,2971.61
2020-05-21,2948.51
2020-05-22,2955.45
2020-05-25,
2020-05-26,2991.77
2020-05-27,3036.13
2020-05-28,3029.73
2020-05-29,3044.31
2020-06-01,3055.73
2020-06-02,3080.82
2020-06-03,3122.87
2020-06-04,3112.35
2020-06-05,3193.93
2020-06-08,3232.39
2020-06-09,3207.18
2020-06-10,3190.14
2020-06-11,3002.1
2020-06-12,3041.31
2020-06-15,3066.59
2020-06-16,3124.74
2020-06-17,3113.49
2020-06-18,3115.34
2020-06-19,3097.74
2020-06-22,3117.86
2020-06-23,3131.29
2020-06-24,3050.33
2020-06-25,3083.76
2020-06-26,3009.05
2020-06-29,3053.24
2020-06-30,3100.29
2020-07-01,3115.86
2020-07-02,3130.01
2020-07-03,
2020-07-06,3179.72
2020-07-07,3145.32
2020-07-08,3169.94
2020-07-09,3152.05
2020-07-10,3185.04
2020-07-13,3155.22
2020-07-14,3197.52
2020-07-15,3226.56
2020-07-16,3215.57
2020-07-17,3224.73
2020-07-20,3251.84
2020-07-21,3257.3
2020-07-22,3276.02
2020-07-23,3235.66
2020-07-24,3215.63
2020-07-27,3239.41
2020-07-28,3218.44
2020-07-29,3258.44
2020-07-30,3246.22
2020-07-31,3271.12
2020-08-03,3294.61
2020-08-04,3306.51
2020-08-05,3327.77
2020-08-06,3349.16
2020-08-07,3351.28
2020-08-10,3360.47
2020-08-11,3333.69
2020-08-12,3380.35
2020-08-13,3373.43
2020-08-14,3372.85
2020-08-17,3381.99
2020-08-18,3389.78
2020-08-19,3374.85
2020-08-20,3385.51
2020-08-21,3397.16
2020-08-24,3431.28
2020-08-25,3443.62
2020-08-26,3478.73
2020-08-27,3484.55
2020-08-28,3508.01
2020-08-31,3500.31
2020-09-01,3526.65
2020-09-02,3580.84
2020-09-03,3455.06
2020-09-04,3426.96
2020-09-07,
2020-09-08,3331.84
2020-09-09,3398.96
2020-09-10,3339.19
2020-09-11,3340.97
2020-09-14,3383.54
2020-09-15,3401.2
2020-09-16,3385.49
2020-09-17,3357.01
2020-09-18,3319.47
2020-09-21,3281.06
2020-09-22,3315.57
2020-09-23,3236.92
2020-09-24,3246.59
2020-09-25,3298.46
2020-09-28,3351.6
2020-09-29,3335.47
2020-09-30,3363.0
2020-10-01,3380.8
2020-10-02,3348.44
2020-10-05,3408.63
2020-10-06,3360.95
2020-10-07,3419.45
2020-10-08,3446.83
2020-10-09,3477.13
2020-10-12,3534.22
2020-10-13,3511.93
2020-10-14,3488.67
2020-10-15,3483.34
2020-10-16,3483.81
2020-10-19,3426.92
2020-10-20,3443.12
2020-10-21,3435.56
2020-10-22,3453.49
2020-10-23,3465.39
2020-10-26,3400.97
2020-10-27,3390.68
2020-10-28,3271.03
2020-10-29,3310.11
2020-10-30,3269.96
2020-11-02,3310.24
2020-11-03,3369.16
2020-11-04,3443.44
2020-11-05,3510.45
2020-11-06,3509.44
2020-11-09,3550.5
2020-11-10,3545.53
2020-11-11,3572.66
2020-11-12,3537.01
2020-11-13,3585.15
2020-11-16,3626.91
2020-11-17,3609.53
2020-11-18,3567.79
2020-11-19,3581.87
2020-11-20,3557.54
2020-11-23,3577.59
2020-11-24,3635.41
2020-11-25,3629.65
2020-11-26,
2020-11-27,3638.35
2020-11-30,3621.63
2020-12-01,3662.45
2020-12-02,3669.01
2020-12-03,3666.72
2020-12-04,3699.12
2020-12-07,3691.96
2020-12-08,3702.25
2020-12-09,3672.82
2020-12-10,3668.1
2020-12-11,3663.46
2020-12-14,3647.49
2020-12-15,3694.62
2020-12-16,3701.17
2020-12-17,3722.48
2020-12-18,3709.41
2020-12-21,3694.92
2020-12-22,3687.26
2020-12-23,3690.01
2020-12-24,3703.06
2020-12-25,
2020-12-28,3735.36
2020-12-29,3727.04
2020-12-30,3732.04
2020-12-31,3756.07
2021-01-01,
2021-01-04,3700.65
2021-01-05,3726.86
2021-01-06,3748.14
2021-01-07,3803.79
2021-01-08,3824.68
2021-01-11,3799.61
2021-01-12,3801.19
2021-01-13,3809.84
2021-01-14,3795.54
2021-01-15,3768.25
2021-01-18,
2021-01-19,3798.91
2021-01-20,3851.85
2021-01-21,3853.07
2021-01-22,3841.47
2021-01-25,3855.36
2021-01-26,3849.62
2021-01-27,3750.77
2021-01-28,3787.38
2021-01-29,3714.24
2021-02-01,3773.86
2021-02-02,3826.31
2021-02-03,3830.17
2021-02-04,3871.74
2021-02-05,3886.83
2021-02-08,3915.59
2021-02-09,3911.23
2021-02-10,3909.88
2021-02-11,3916.38
2021-02-12,3934.83
2021-02-15,
2021-02-16,3932.59
2021-02-17,3931.33
2021-02-18,3913.97
2021-02-19,3906.71
2021-02-22,3876.5
2021-02-23,3881.37
2021-02-24,3925.43
2021-02-25,3829.34
2021-02-26,3811.15
2021-03-01,3901.82
2021-03-02,3870.29
2021-03-03,3819.72
2021-03-04,3768.47
2021-03-05,3841.94
2021-03-08,3821.35
2021-03-09,3875.44
2021-03-10,3898.81
2021-03-11,3939.34
2021-03-12,3943.34
2021-03-15,3968.94
2021-03-16,3962.71
2021-03-17,3974.12
2021-03-18,3915.46
2021-03-19,3913.1
2021-03-22,3940.59
2021-03-23,3910.52
2021-03-24,3889.14
2021-03-25,3909.52
2021-03-26,3974.54
2021-03-29,3971.09
2021-03-30,3958.55
2021-03-31,3972.89
2021-04-01,4019.87
2021-04-02,
2021-04-05,4077.91
2021-04-06,4073.94
2021-04-07,4079.95
2021-04-08,4097.17
2021-04-09,4128.8
2021-04-12,4127.99
2021-04-13,4141.59
2021-04-14,4124.66
2021-04-15,4170.42
2021-04-16,4185.47
2021-04-19,4163.26
2021-04-20,4134.94
2021-04-21,4173.42
2021-04-22,4134.98
2021-04-23,4180.17
2021-04-26,4187.62
2021-04-27,4186.72
2021-04-28,4183.18
2021-04-29,4211.47
2021-04-30,4181.17
2021-05-03,4192.66
2021-05-04,4164.66
2021-05-05,4167.59
2021-05-06,4201.62
2021-05-07,4232.6
2021-05-10,4188.43
2021-05-11,4152.1
2021-05-12,4063.04
2021-05-13,4112.5
2021-05-14,4173.85
2021-05-17,4163.29
2021-05-18,4127.83
2021-05-19,4115.68
2021-05-20,4159.12
2021-05-21,4155.86
2021-05-24,4197.05
2021-05-25,4188.13
2021-05-26,4195.99
2021-05-27,4200.88
2021-05-28,4204.11
2021-05-31,
2021-06-01,4202.04
2021-06-02,4208.12
2021-06-03,4192.85
2021-06-04,4229.89
2021-06-07,4226.52
2021-06-08,4227.26
2021-06-09,4219.55
2021-06-10,4239.18
2021-06-11,4247.44
